intstarttime,vcimsi,intenbid,intscrsrp,intpci,intnc1rsrp,intnc2rsrp,intnc3rsrp,intnc4rsrp,intnc5rsrp,intnc6rsrp,intnc7rsrp,intnc8rsrp,intmr_ta,intmr_uetranspowermargin,flong,flat
1584677080000 ,2661751,169945,63,25,30,68,39,\N,\N,\N,\N,\N,0,63,113.374252,23.128141
1584677080000 ,149186543,169945,54,11,58,68,62,29,26,25,51,46,1,41,113.37133,23.12784
1584677080000 ,190956427,169945,46,11,43,39,26,24,66,32,\N,\N,2,63,113.371978,23.129245
1584677080000 ,369581910,169945,54,11,71,35,42,55,\N,\N,\N,\N,1,63,113.37358,23.128742
1584677080000 ,405436854,169945,53,11,48,47,46,48,44,50,43,67,2,63,113.372406,23.128665
1584677080000 ,467950060,169945,61,11,74,66,48,39,26,23,36,34,2,63,113.372123,23.128677
1584677085000 ,2661751,169945,63,25,36,65,42,35,\N,\N,\N,\N,0,63,113.37416,23.128129
1584677101000 ,405436854,169945,56,11,46,42,39,47,40,66,66,46,2,63,113.372428,23.128688
1584677101000 ,467950060,169945,56,11,57,73,67,35,33,32,31,39,0,63,113.373306,23.128313
1584677106000 ,10826763,169945,71,25,46,72,23,\N,\N,\N,\N,\N,0,63,113.373863,23.128108
1584677108000 ,467950060,169945,61,25,\N,\N,\N,\N,\N,\N,\N,\N,0,49,113.373756,23.128269
1584677024000 ,350620538,169945,59,11,44,51,55,47,33,24,39,\N,2,63,113.3721,23.12976
1584677024000 ,405436854,169945,59,11,52,51,48,47,42,46,45,64,2,63,113.372558,23.12857
1584677029000 ,186861107,169945,40,11,21,\N,\N,\N,\N,\N,\N,\N,2,63,113.371803,23.129096
1584677341000 ,381333575,169945,45,11,38,38,27,43,41,45,44,31,0,63,113.371978,23.127605
1584677341000 ,77057919,169945,53,11,34,25,22,69,\N,\N,\N,\N,1,63,113.373474,23.128698
1584677341000 ,148335107,169945,53,11,47,46,44,47,40,54,58,49,2,63,113.372192,23.129352
1584677346000 ,148335107,169945,59,11,47,41,41,49,47,46,45,55,2,63,113.372535,23.129074
1584677346000 ,337264343,169945,43,11,53,40,43,38,33,32,24,21,2,63,113.371887,23.128505
1584677354000 ,74145727,169945,45,25,\N,\N,\N,\N,\N,\N,\N,\N,1,63,113.374549,23.128612
1584677024000 ,186376917,169945,48,11,\N,\N,\N,\N,\N,\N,\N,\N,2,63,113.371978,23.129245
1584677024000 ,255281125,169945,61,11,35,28,64,64,49,\N,\N,\N,1,63,113.373519,23.128698
1584677362000 ,148335107,169945,53,11,39,33,32,50,48,52,52,43,2,63,113.372573,23.128967
1584677449000 ,1439850,169945,49,11,59,59,29,12,59,56,42,34,1,63,113.373695,23.127904
1584677444000 ,142129550,169945,57,11,49,43,57,64,24,23,23,\N,2,63,113.373367,23.128709
1584677454000 ,192330757,169945,59,11,48,44,36,44,33,27,76,\N,2,63,113.371612,23.129041
1584677531000 ,1439850,169945,51,11,68,59,25,24,68,56,46,39,1,63,113.374015,23.127819
1584677531000 ,310631647,169945,59,11,43,76,69,38,25,42,42,40,1,63,113.372879,23.128753
1584677434000 ,142129550,169945,58,11,43,53,58,52,28,21,20,\N,2,63,113.373367,23.128721
1584677546000 ,407156156,169945,45,11,42,39,35,35,34,33,56,50,1,43,113.371757,23.129117
1584677623000 ,349636966,169945,54,11,43,38,26,76,32,\N,\N,\N,1,63,113.372749,23.12828
1584677623000 ,373956852,169945,56,11,48,34,26,26,23,62,58,\N,2,63,113.372322,23.128955
1584677628000 ,142129550,169945,62,25,59,53,59,32,\N,\N,\N,\N,1,53,113.374526,23.128431
1584677628000 ,1439850,169945,51,11,62,62,27,76,68,34,24,33,0,63,113.37371,23.127979
1584677618000 ,1439850,169945,52,11,63,61,23,18,70,70,32,31,0,63,113.37371,23.127979
1584676867000 ,336136541,341289,47,260,36,31,48,41,43,41,39,41,0,63,113.374549,23.126605
1584677313000 ,498229401,341289,58,260,51,44,43,34,31,30,52,\N,0,63,113.373756,23.125865
1584677292000 ,498229401,341289,56,260,54,43,49,33,29,51,\N,\N,0,63,113.373756,23.12564
1584677298000 ,181864018,341289,41,260,39,35,42,39,38,44,44,\N,0,63,113.374359,23.124095
1584677298000 ,253107998,341289,59,260,38,33,47,44,47,42,46,40,0,63,113.374122,23.124525
1584677298000 ,498229401,341289,58,260,53,42,34,43,31,28,54,49,0,63,113.373756,23.125694
1584677098000 ,51085637,341289,61,260,37,40,37,\N,\N,\N,\N,\N,0,63,113.374122,23.124397
1584677062000 ,51085637,341289,68,260,37,32,46,47,\N,\N,\N,\N,0,63,113.374122,23.124406
1584677062000 ,63495519,341289,59,260,53,53,43,45,45,\N,\N,\N,0,63,113.373802,23.124633
1584677062000 ,180177873,341289,41,260,36,32,30,39,39,36,44,39,0,63,113.37442,23.12416
1584677093000 ,51085637,341289,66,260,35,33,45,46,\N,\N,\N,\N,0,62,113.374122,23.124397
1584677093000 ,180177873,341289,41,260,35,29,38,37,35,39,34,\N,0,32,113.374397,23.124107
1584677020000 ,12389943,210275,45,208,45,17,42,\N,\N,\N,\N,\N,2,28,113.380363,23.121564
1584677020000 ,69471319,210275,51,208,50,48,13,8,41,\N,\N,\N,2,63,113.381675,23.12166
1584677020000 ,78548978,210275,42,209,37,\N,\N,\N,\N,\N,\N,\N,1,29,113.383949,23.122497
1584677020000 ,440928702,210275,45,209,49,47,44,49,47,28,25,52,1,63,113.383819,23.121006
1584677005000 ,74806637,210275,41,207,42,\N,\N,\N,\N,\N,\N,\N,\N,60,113.383949,23.122497
1584677170000 ,13015526,210275,39,207,39,44,40,37,32,23,17,17,0,63,113.382598,23.122594
1584677170000 ,188324389,210275,42,207,16,41,44,38,23,44,\N,\N,0,28,113.38253,23.12255
1584677104000 ,393927448,210275,40,207,33,56,54,18,15,15,35,34,\N,27,113.382965,23.12298
1584677409000 ,449725099,210275,56,209,52,51,48,62,54,30,36,30,0,63,113.383155,23.122186
1584677176000 ,393927448,210275,49,207,46,49,21,18,16,40,33,46,0,63,113.383071,23.122734
1584677247000 ,440453093,210275,48,207,\N,\N,\N,\N,\N,\N,\N,\N,0,39,113.382919,23.122283
1584677691000 ,451456935,210275,56,207,25,58,60,55,48,\N,\N,\N,0,63,113.38298,23.122272
1584677691000 ,494790720,210275,57,208,54,57,53,50,54,52,\N,\N,1,43,113.381607,23.12165
1584677339000 ,79142539,210275,52,207,55,13,51,56,45,\N,\N,\N,0,63,113.382965,23.122283
1584677698000 ,457272763,210275,37,207,22,35,14,36,\N,\N,\N,\N,3,57,113.381782,23.124504
1584677693000 ,151204294,210275,60,208,52,67,62,33,\N,\N,\N,\N,1,47,113.381332,23.121725
1584677693000 ,239753347,210275,49,208,38,27,48,43,39,32,48,34,0,59,113.382553,23.122026
1584677551000 ,132560479,342742,30,57,23,17,22,22,22,22,37,35,0,20,113.378753,23.123849
1584676988000 ,26156281,172035,65,\N,62,56,62,48,40,40,\N,\N,2,63,113.375473,23.121402
1584676988000 ,224241954,172035,55,\N,50,51,49,53,35,\N,\N,\N,2,63,113.376564,23.120372
1584676988000 ,246470488,172035,58,\N,53,47,60,\N,\N,\N,\N,\N,3,63,113.372619,23.122938
1584676834000 ,481926730,172035,38,\N,36,25,\N,\N,\N,\N,\N,\N,6,63,113.370063,23.122198
1584676921000 ,481926730,172035,55,\N,44,54,\N,\N,\N,\N,\N,\N,5,63,113.37088,23.121574
1584676983000 ,26156281,172035,58,\N,\N,\N,\N,\N,\N,\N,\N,\N,2,63,113.375579,23.121564
1584676983000 ,224241954,172035,52,\N,50,43,50,31,\N,\N,\N,\N,2,63,113.376586,23.120319
1584676991000 ,26565129,172035,59,\N,49,59,51,52,46,52,\N,\N,\N,\N,113.371849,23.121864
1584676991000 ,293636049,172035,67,\N,59,55,65,44,\N,\N,\N,\N,\N,\N,113.371505,23.121822
1584676991000 ,152075381,172035,58,\N,43,54,55,50,33,32,46,\N,\N,\N,113.37693,23.120662
1584676989000 ,398032598,172035,38,\N,48,68,35,33,\N,\N,\N,\N,\N,\N,113.377662,23.120567
1584677244000 ,17169663,172035,63,\N,67,65,73,62,57,37,35,35,0,63,113.374977,23.121038
1584677336000 ,31218199,172035,46,\N,48,42,35,40,\N,\N,\N,\N,5,63,113.370475,23.121263
1584677326000 ,242648936,172035,50,\N,44,44,51,45,58,47,41,\N,2,48,113.322303,23.117595
1584677322000 ,479502434,172035,38,\N,42,33,49,47,38,33,31,72,\N,\N,113.378067,23.120191
1584677546000 ,234885668,172035,74,\N,59,61,28,21,62,50,70,61,5,63,113.370536,23.121843
1584677551000 ,346866620,172035,57,\N,53,51,50,28,47,30,58,57,3,63,113.376373,23.12017
1584677551000 ,484027588,172035,28,\N,26,20,14,13,28,27,24,11,8,55,113.375175,23.133977
1584677612000 ,23863027,172035,50,\N,40,38,34,63,\N,\N,\N,\N,6,63,113.37899,23.119686
1584677612000 ,234885668,172035,50,\N,42,46,48,32,30,28,23,43,5,63,113.371055,23.12136
1584677612000 ,307099593,172035,45,\N,37,46,39,44,41,38,41,36,5,63,113.37062,23.121574
1584677618000 ,234885668,172035,43,\N,35,31,36,58,45,41,41,45,5,63,113.371093,23.12136
1584677618000 ,307099593,172035,45,\N,38,45,44,42,39,41,36,34,5,63,113.37062,23.121574
1584677618000 ,342231592,172035,61,\N,49,49,58,\N,\N,\N,\N,\N,4,63,113.370727,23.122014
1584677618000 ,351897798,172035,31,\N,22,28,28,23,39,35,32,\N,6,30,113.370475,23.121456
1584677623000 ,17619431,172035,66,\N,69,58,40,65,\N,\N,\N,\N,2,63,113.375968,23.120996
1584677291000 ,279525557,339869,27,184,21,17,20,29,23,22,7,24,0,63,113.377273,23.123678
1584677296000 ,279525557,339869,26,184,21,17,21,24,23,13,24,21,0,63,113.377273,23.123678
1584676870000 ,458443716,339869,77,184,15,13,12,25,24,18,30,23,0,63,113.377578,23.123935
1584676875000 ,458443716,339869,76,184,19,14,25,19,18,17,22,19,0,63,113.377578,23.123968
1584676880000 ,458443716,339869,71,184,19,15,24,20,31,29,35,33,0,56,113.377555,23.124
1584676964000 ,173730314,171403,78,27,32,27,35,30,19,15,27,24,1,54,113.383369,23.125255
1584677131000 ,415006331,174006,54,56,55,53,59,57,52,50,46,63,1,63,113.378067,23.127969
1584677136000 ,476706791,174006,61,57,57,53,70,54,60,59,52,72,0,63,113.377922,23.128087
1584677136000 ,168599577,174006,71,57,59,58,68,61,72,57,57,57,0,63,113.378051,23.128097
1584677105000 ,476706791,174006,61,57,56,52,66,64,57,60,60,54,0,63,113.377922,23.128087
1584677105000 ,168599577,174006,71,57,62,60,70,73,58,55,57,50,0,63,113.378051,23.128108
1584677018000 ,476706791,174006,62,57,57,53,67,60,60,59,51,74,0,63,113.377937,23.128087
1584677018000 ,168599577,174006,68,57,68,62,78,71,60,53,54,52,0,63,113.378112,23.128055
1584677044000 ,476706791,174006,61,57,57,54,68,58,62,61,55,72,0,63,113.377922,23.128097
1584677044000 ,168599577,174006,68,57,67,64,77,70,62,58,56,47,0,63,113.378089,23.128076
1584677079000 ,414126542,174006,56,56,57,57,55,54,53,76,65,32,1,60,113.378028,23.127937
1584677192000 ,476706791,174006,61,57,58,53,69,59,59,58,53,72,0,63,113.377937,23.128097
1584677346000 ,168599577,174006,71,57,61,50,72,72,59,59,56,53,0,63,113.378028,23.128044
1584677550000 ,476706791,174006,54,57,51,51,64,58,55,53,70,66,0,41,113.377815,23.128097
1584677550000 ,168599577,174006,68,57,62,59,68,53,78,62,56,57,0,63,113.37796,23.128067
1584676831000 ,152591217,342737,34,49,29,22,21,22,16,13,29,\N,1,24,113.37693,23.125308
1584676887000 ,152591217,342737,31,49,28,24,19,23,19,25,\N,\N,1,23,113.37693,23.125308
1584677243000 ,166111422,342737,30,49,25,22,20,19,22,\N,\N,\N,1,14,113.376998,23.125125
1584677412000 ,151706984,342737,36,49,30,21,24,19,23,24,23,\N,1,21,113.376998,23.125255
1584677565000 ,155010119,342737,32,49,29,24,29,19,16,25,21,18,1,18,113.376998,23.125255
1584676915000 ,153737820,169858,61,\N,50,48,47,64,61,55,30,67,2,46,113.372642,23.121715
1584676915000 ,309005702,169858,67,\N,81,68,64,44,38,\N,\N,\N,1,63,113.373413,23.121488
1584676915000 ,142212263,169858,61,\N,58,42,34,65,54,43,63,\N,3,57,113.375625,23.120426
1584676910000 ,309005702,169858,67,\N,74,68,64,57,48,44,\N,\N,0,62,113.37358,23.121456
1584676910000 ,142212263,169858,62,\N,50,34,33,62,59,45,66,\N,3,57,113.376113,23.120298
1584676925000 ,348605910,169858,46,\N,38,50,49,61,27,21,58,51,5,43,113.377105,23.120405
